id_code,area,site,year,month,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T1_mdrl,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T2_mdrl,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,T3_mdrl,T4_mean,T4_absmax,T4_absmin,T4_meanmax,T4_meanmin,T4_mdrl,arh_mean,arh_absmax,arh_absmin,arh_meanmax,arh_meanmin,arh_mdrl,moist_sd,moist_cv,moist_mean,moist_absmax,moist_absmin,moist_mdrl,T1_prop,T2_prop,T3_prop,T4_prop,moist_prop
AIL101,AIL,101,2019,8,9.88,12,7.94,10.63,9.08,1.55,10.78,19.38,3.56,14.43,6.76,7.67,11.42,25.39,2.27,17.12,6.32,10.8,11.98,26,3.7,17.04,7.49,9.55,83.92,99.9,43.1,97.18,63.67,33.51,4.83,0.15,33.09,50.2,17.4,5.66,52,52,52,52,52
AIL101,AIL,101,2019,9,5.12,11.38,0.88,5.77,4.55,1.22,3.96,15.31,-5.06,7.21,0.9,6.31,4.28,19.39,-8.17,9.22,-0.24,9.46,4.95,20.2,-6.8,9.55,0.9,8.65,84.92,100,37.9,96.43,66.32,30.11,2.57,0.08,34.21,45.1,29.4,2.72,100,100,100,100,100
AIL101,AIL,101,2019,10,-0.78,2.25,-4.18,-0.52,-1.08,0.56,-3.84,2.75,-13,-1.9,-6.12,4.22,-5.1,3.77,-18.23,-1.92,-8.97,7.04,-4.54,3.8,-17.2,-1.65,-7.74,6.09,88.47,98.6,55.9,94.23,81.19,13.04,2.41,0.07,32.56,38.1,29.5,1.04,100,100,100,100,29
AIL101,AIL,101,2019,11,-3.25,-1.75,-6.75,-2.9,-3.59,0.7,-7.47,-1.81,-17.5,-5.73,-9.28,3.55,-11.59,-1.36,-26.23,-8.07,-15.47,7.4,-11.1,0.9,-25.6,-7.75,-14.72,6.97,92.84,99.9,83.7,95.5,89.87,5.63,NA,NA,NA,NA,NA,NA,100,100,100,100,0
AIL101,AIL,101,2019,12,-2.41,-1.62,-4.12,-2.26,-2.56,0.29,-3.75,-1.44,-8.31,-3.28,-4.27,1,-5.88,-0.8,-16.61,-4.68,-7.2,2.52,-8.7,2.4,-26.7,-5.16,-13.05,7.89,92.9,100,76.6,96.68,87.67,9.01,NA,NA,NA,NA,NA,NA,100,100,100,100,0
AIL101,AIL,101,2020,1,-2.04,-1.62,-2.68,-1.99,-2.09,0.1,-2.92,-1.75,-4.25,-2.76,-3.08,0.32,-4.28,-1.86,-6.86,-3.93,-4.62,0.69,-9.38,1.5,-28.9,-5.85,-13.38,7.53,91.66,99.9,72.4,95.74,85.87,9.86,NA,NA,NA,NA,NA,NA,100,100,100,100,0
AIL101,AIL,101,2020,2,-2,-1.75,-2.56,-1.97,-2.02,0.05,-2.54,-2.12,-3.5,-2.48,-2.6,0.12,-3.35,-2.73,-4.86,-3.26,-3.44,0.18,-10.35,-10.2,-10.9,-10.2,-10.9,0.7,93.77,94.6,89.7,94.6,89.7,4.9,NA,NA,NA,NA,NA,NA,100,100,100,3,0
AIL101,AIL,101,2020,3,-1.89,-1.5,-2.25,-1.87,-1.92,0.04,-2.31,-1.62,-3,-2.25,-2.35,0.1,-3,-1.92,-4.05,-2.92,-3.08,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0,0
AIL101,AIL,101,2020,4,-1.47,-1,-1.87,-1.45,-1.5,0.06,-1.63,-0.75,-2.38,-1.58,-1.69,0.11,-2.06,-0.73,-3.11,-1.98,-2.15,0.17,-2.76,3.9,-9.8,1.39,-6.45,7.84,85.34,99.1,63,93.97,73.67,20.3,NA,NA,NA,NA,NA,NA,100,100,100,27,0
AIL101,AIL,101,2020,5,-0.7,-0.25,-1.12,-0.68,-0.72,0.04,-0.42,7.31,-1.25,-0.22,-0.57,0.35,-0.34,11.39,-1.73,0.09,-0.71,0.8,2.16,20,-12.2,8.02,-3.5,11.52,74.87,99.9,34.3,92.58,57.29,35.29,NA,NA,NA,NA,NA,NA,100,100,100,100,0
