area,site,logger,dtw_0.5ha,dtw_10ha,dtw_1ha,dtw_4ha,twi
KAR,KAR027,Tomst,283,283,283,283,4438
KAR,KAR048,Tomst,393,1563,1335,1558,5008
KAR,KAR008,Tomst,15,15,15,15,13892
KAR,KAR012,Tomst,240,418,248,418,6098
KAR,KAR051,Tomst,698,1003,858,1003,4739
KAR,KAR034,Tomst,4,4,4,4,17049
KAR,KAR020,Tomst,163,163,163,163,5251
KAR,KAR036,Tomst,1107,1257,1107,1257,4305
KAR,KAR043,Tomst,783,783,783,783,3837
KAR,KAR050,Tomst,6,1364,8,494,8800
KAR,KAR013,Tomst,53,1339,53,53,6949
KAR,KAR011,Tomst,682,1002,682,682,6049
KAR,KAR039,Tomst,4,1639,22,253,10951
KAR,KAR005,Tomst,735,1218,776,1017,4571
KAR,KAR040,Tomst,325,1874,519,925,4162
KAR,KAR014,Tomst,276,1632,348,1336,3891
KAR,KAR033,Tomst,35,1448,270,1448,6378
KAR,KAR041,Tomst,808,2316,986,1321,6245
KAR,KAR032,Tomst,189,1692,508,1692,6560
KAR,KAR023,Tomst,242,242,242,242,4302
KAR,KAR006,Tomst,576,840,818,840,5785
KAR,KAR003,Tomst,133,1631,138,1584,5520
KAR,KAR044,Tomst,60,454,60,454,8112
KAR,KAR024,Tomst,489,489,489,489,5513
KAR,KAR049,Tomst,532,1430,850,1035,6730
KAR,KAR045,Tomst,117,117,117,117,5719
KAR,KAR035,Tomst,191,838,191,191,5401
KAR,KAR010,Tomst,80,1279,80,192,6996
KAR,KAR021,Tomst,154,1414,224,369,5930
KAR,KAR007,Tomst,14,1407,14,74,9451
KAR,KAR042,Tomst,622,1546,622,622,5430
KAR,KAR009,Tomst,771,771,771,771,4479
KAR,KAR025,Tomst,981,1652,1039,1068,5059
KAR,KAR002,Tomst,266,750,266,676,6642
KAR,KAR047,Tomst,9,1242,9,10,10740
KAR,KAR030,Tomst,0,15,0,0,12966
KAR,KAR022,Tomst,9,44,9,44,8442
KAR,KAR037,Tomst,0,680,0,0,9758
KAR,KAR026,Tomst,0,437,0,0,9292
KAR,KAR031,Tomst,648,1785,747,1385,5496
KAR,KAR055,Tomst,2,1182,144,782,9803
KAR,KAR015,Tomst,273,292,279,292,5705
KAR,KAR017,Tomst,15,15,15,15,5940
KAR,KAR018,Tomst,38,42,38,42,8249
KAR,KAR054,Tomst,161,163,161,161,4950
KAR,KAR053,Tomst,12,102,14,98,8322
KAR,KAR016,Tomst,1209,1727,1216,1522,4354
KAR,KAR052,Tomst,433,451,433,451,4479
KAR,KAR038,Tomst,7,808,7,7,10998
KAR,KAR004,Tomst,532,532,532,532,5936
PIS,PIS101,Tomst,141,300,141,300,7202
PIS,PIS102,Tomst,131,422,378,384,6634
PIS,PIS103,Tomst,118,182,128,182,6969
PIS,PIS104,Tomst,117,559,119,552,7655
PIS,PIS105,Tomst,14,410,14,78,7003
PIS,PIS106,Tomst,190,576,197,433,6597
PIS,PIS107,Tomst,244,503,304,326,4933
PIS,PIS108,Tomst,139,284,139,284,6127
PIS,PIS109,Tomst,172,680,330,680,5838
PIS,PIS110,Tomst,62,1222,62,850,6167
PIS,PIS111,Tomst,193,1199,201,774,6885
PIS,PIS112,Tomst,87,378,87,277,7538
PIS,PIS113,Tomst,45,828,182,511,6286
PIS,PIS114,Tomst,74,712,166,276,6754
PIS,PIS115,Tomst,46,592,48,322,7495
PIS,PIS116,Tomst,30,365,30,202,6779
PIS,PIS117,Tomst,0,513,0,0,12674
PIS,PIS118,Tomst,278,485,366,468,5330
PIS,PIS119,Tomst,208,1072,208,924,5612
PIS,PIS120,Tomst,137,1060,181,554,7574
PIS,PIS047,Tomst,1207,3064,1517,3064,4537
PIS,PIS008,Tomst,1111,4087,1140,3216,5053
PIS,PIS025,Tomst,769,4211,824,3935,5378
PIS,PIS031,Tomst,420,3479,420,3479,6552
PIS,PIS049,Tomst,389,3362,507,3362,6020
PIS,PIS011,Tomst,772,5106,806,5034,6027
PIS,PIS016,Tomst,718,4384,1250,3883,5448
PIS,PIS013,Tomst,930,3023,1651,2936,4679
