site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin
AIL101,2019,8,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,3.78,0.14,26.5,26.4,39.1,14,9.88,12,7.94,10.63,9.08,10.78,19.38,3.56,14.43,6.76,11.42,25.39,2.27,17.12,6.32
AIL101,2019,9,1,1,1,0.9333333333333333,1.86,0.07,27.8,27.6,35.5,24.4,5.12,11.38,0.88,5.77,4.55,3.96,15.31,-5.06,7.21,0.9,4.28,19.39,-8.17,9.22,-0.24
AIL101,2019,10,1,1,1,0.0967741935483871,2.27,0.08,28.3,27.8,30.3,25.2,-0.78,2.25,-4.18,-0.52,-1.08,-3.84,2.75,-13,-1.9,-6.12,-5.1,3.77,-18.23,-1.92,-8.97
AIL101,2019,11,1,1,1,0,NA,NA,NA,NA,NA,NA,-3.25,-1.75,-6.75,-2.9,-3.59,-7.47,-1.81,-17.5,-5.73,-9.28,-11.59,-1.36,-26.23,-8.07,-15.47
AIL101,2019,12,1,1,1,0,NA,NA,NA,NA,NA,NA,-2.41,-1.62,-4.12,-2.26,-2.56,-3.75,-1.44,-8.31,-3.28,-4.27,-5.88,-0.8,-16.61,-4.68,-7.2
AIL101,2020,1,1,1,1,0,NA,NA,NA,NA,NA,NA,-2.04,-1.62,-2.68,-1.99,-2.09,-2.92,-1.75,-4.25,-2.76,-3.08,-4.28,-1.86,-6.86,-3.93,-4.62
AIL101,2020,2,1,1,1,0,NA,NA,NA,NA,NA,NA,-2,-1.75,-2.56,-1.97,-2.02,-2.54,-2.12,-3.5,-2.48,-2.6,-3.35,-2.73,-4.86,-3.26,-3.44
AIL101,2020,3,1,1,1,0,NA,NA,NA,NA,NA,NA,-1.89,-1.5,-2.25,-1.87,-1.92,-2.31,-1.62,-3,-2.25,-2.35,-3,-1.92,-4.05,-2.92,-3.08
AIL101,2020,4,1,1,1,0,NA,NA,NA,NA,NA,NA,-1.47,-1,-1.87,-1.45,-1.5,-1.63,-0.75,-2.38,-1.58,-1.69,-2.06,-0.73,-3.11,-1.98,-2.15
AIL101,2020,5,1,1,1,0,NA,NA,NA,NA,NA,NA,-0.7,-0.25,-1.12,-0.68,-0.72,-0.42,7.31,-1.25,-0.22,-0.57,-0.34,11.39,-1.73,0.09,-0.71
