term,estimate,std.error,statistic,p.value,area,week,resp,model,edf,ref.df
(Intercept),32.13153310080472,1.7166138644076274,18.717973661416703,1.2365511840622957e-43,KIL,24,moist_mean,lm,NA,NA
pisr_summer_10m,0.3743663236252361,0.8425773683384067,0.44431091754042734,0.6573667646919517,KIL,24,moist_mean,lm,NA,NA
twi_luke,2.697933361054048,1.1947709243315345,2.2581176911076253,0.025173458545448016,KIL,24,moist_mean,lm,NA,NA
dtw_0_5ha,-2.380798815512847,0.9722380994398057,-2.4487816481216282,0.01531985013019987,KIL,24,moist_mean,lm,NA,NA
tpi20,-1.3709949746619061,0.9130096640796839,-1.5016215365517216,0.1349970791959096,KIL,24,moist_mean,lm,NA,NA
tpi500,0.6827189138937058,1.0007965679580055,0.6821755147369304,0.4960298951102501,KIL,24,moist_mean,lm,NA,NA
wet_effect,2.68536612236643,1.3389252786034747,2.005613132621799,0.04643825521469079,KIL,24,moist_mean,lm,NA,NA
soil_typesilt,3.510807368303485,1.908295570622224,1.8397607909128781,0.06749743302367885,KIL,24,moist_mean,lm,NA,NA
soil_typepeat,16.471121726045894,3.945389791623913,4.174776789105651,4.694920894551716e-5,KIL,24,moist_mean,lm,NA,NA
s(pisr_summer_10m),NA,NA,3.3354480123639605,0.04544654708302359,KIL,24,moist_mean,gam,1.8640733643780671,1.9807302100509998
s(twi_luke),NA,NA,5.254352874055286,0.008081759853237669,KIL,24,moist_mean,gam,1.844049726340565,1.9749216496768462
s(dtw_0_5ha),NA,NA,4.521410083862741,0.03485664008268341,KIL,24,moist_mean,gam,1.0002514623301484,1.0005000204039665
s(tpi20),NA,NA,1.4055343154302666,0.23732748431644657,KIL,24,moist_mean,gam,1.0003579799748654,1.0007155091027535
s(tpi500),NA,NA,2.386934992078739,0.15711065789579098,KIL,24,moist_mean,gam,1.6785144868199184,1.8961827811935266
s(wet_effect),NA,NA,8.48872601774564,0.004044104656509007,KIL,24,moist_mean,gam,1.000288602205256,1.0005762995646215
(Intercept),29.406344523325593,1.6026274922443804,18.348833191513414,5.038327385224465e-46,KIL,25,moist_mean,lm,NA,NA
pisr_summer_10m,-0.4700336575804336,0.7775136461457594,-0.6045342868391497,0.5461200452813971,KIL,25,moist_mean,lm,NA,NA
twi_luke,3.1801056444766544,1.0282044593733353,3.092872838165717,0.0022426041763802486,KIL,25,moist_mean,lm,NA,NA
dtw_0_5ha,-2.196741394306551,0.8967691726520133,-2.449617428094827,0.015093119084117862,KIL,25,moist_mean,lm,NA,NA
tpi20,-0.9784891564271687,0.8239120046978174,-1.187613666080815,0.23628396696913329,KIL,25,moist_mean,lm,NA,NA
tpi500,1.1509869758604956,0.913469280287145,1.260017168282537,0.20901653103298232,KIL,25,moist_mean,lm,NA,NA
wet_effect,2.5131798626944932,1.2040811542467829,2.087218003396641,0.03803592772119301,KIL,25,moist_mean,lm,NA,NA
soil_typesilt,2.992253962262167,1.780588481859169,1.6804859700866197,0.09430168001011034,KIL,25,moist_mean,lm,NA,NA
soil_typepeat,16.45960659803166,3.4879746475443354,4.718958209636024,4.246608195140094e-6,KIL,25,moist_mean,lm,NA,NA
s(pisr_summer_10m),NA,NA,0.4755492345314993,0.4541789796560484,KIL,25,moist_mean,gam,1.229051139283553,1.4047306380923197
s(twi_luke),NA,NA,6.23290636692386,0.0027600711348792495,KIL,25,moist_mean,gam,1.7171409301199112,1.9190809778848168
s(dtw_0_5ha),NA,NA,4.123248793278776,0.04345850647459604,KIL,25,moist_mean,gam,1.0003054529681226,1.0006094567664683
s(tpi20),NA,NA,0.9416805557807999,0.3329382168680773,KIL,25,moist_mean,gam,1.0002215968655535,1.0004427642384692
s(tpi500),NA,NA,2.651860440147526,0.10488996916955312,KIL,25,moist_mean,gam,1.0003076248824088,1.0006145714931185
s(wet_effect),NA,NA,5.925056390225736,0.01573552458374483,KIL,25,moist_mean,gam,1.000224928483297,1.0004490262602415
(Intercept),26.508408372537268,1.4700306328164316,18.032555091556024,1.0483700430035725e-45,KIL,26,moist_mean,lm,NA,NA
pisr_summer_10m,-1.0714026038419378,0.7316238899431983,-1.4644171938195172,0.1444635010097641,KIL,26,moist_mean,lm,NA,NA
twi_luke,3.2567258768028315,0.9593309209022748,3.3947888114977043,8.105351216411991e-4,KIL,26,moist_mean,lm,NA,NA
dtw_0_5ha,-1.822200116020244,0.8466039604199461,-2.1523642709117103,0.03242357668490588,KIL,26,moist_mean,lm,NA,NA
tpi20,-0.6120272195176473,0.7819550491058539,-0.7826884936896119,0.43462579578379623,KIL,26,moist_mean,lm,NA,NA
tpi500,0.8391217108763526,0.8575751862791423,0.9784817987996413,0.32887773002152254,KIL,26,moist_mean,lm,NA,NA
wet_effect,3.350071047017838,1.109288573957782,3.020017627212427,0.002816883336690548,KIL,26,moist_mean,lm,NA,NA
soil_typesilt,3.0453716148886687,1.6482319087023152,1.8476596641587582,0.06595265267696905,KIL,26,moist_mean,lm,NA,NA
soil_typepeat,17.062223240991205,3.2634514606870355,5.228275476602062,3.8781302690414165e-7,KIL,26,moist_mean,lm,NA,NA
s(pisr_summer_10m),NA,NA,3.5353564940143074,0.06030926036173506,KIL,26,moist_mean,gam,1.0049314604324473,1.0098232455998928
s(twi_luke),NA,NA,8.5743104496956,2.9800980459882e-4,KIL,26,moist_mean,gam,1.8348969585658532,1.9723867304621368
s(dtw_0_5ha),NA,NA,1.2097743371441314,0.2056909429549042,KIL,26,moist_mean,gam,1.1533164367385746,1.2827816649804893
