fit_area,week,resp,pred_area,model,loocv_R2,loocv_rmse
KIL,24,moist_mean,VAR,lm,0.5049782678364415,12.189025818352745
KIL,24,moist_mean,TII,lm,0.398682102151043,14.41163660896087
KIL,24,moist_mean,PIS,lm,0.4390312447493043,15.798958482654063
KIL,24,moist_mean,HYY,lm,0.41300869845961286,22.229987118916974
KIL,24,moist_mean,KAR,lm,0.30453513754222516,13.382245633516902
KIL,24,moist_mean,KIL,lm,0.33841561822394195,11.347338666576807
KIL,24,moist_mean,VAR,gam,0.3865826496507808,13.29628171857268
KIL,24,moist_mean,TII,gam,0.4126870834114573,15.762157181937239
KIL,24,moist_mean,PIS,gam,0.4630026283489727,15.02821752185669
KIL,24,moist_mean,HYY,gam,0.4766013579960551,22.32322704223472
KIL,24,moist_mean,KAR,gam,0.32399509774157653,13.372534079466666
KIL,24,moist_mean,KIL,gam,0.38373224969818576,10.946681477213474
KIL,25,moist_mean,VAR,lm,0.5103504444533044,14.23218000405104
KIL,25,moist_mean,TII,lm,0.4032257570667792,14.26710467432001
KIL,25,moist_mean,PIS,lm,0.4309852434915121,15.39643026710197
KIL,25,moist_mean,HYY,lm,0.4240916093787572,19.422453979924033
KIL,25,moist_mean,KAR,lm,0.3357908303832196,15.11254684186164
KIL,25,moist_mean,KIL,lm,0.32854610082503094,11.549108059917602
KIL,25,moist_mean,VAR,gam,0.521903517629246,14.254351635209513
KIL,25,moist_mean,TII,gam,0.42442611658390633,14.526324147710548
KIL,25,moist_mean,PIS,gam,0.4391454200415048,15.324464803470295
KIL,25,moist_mean,HYY,gam,0.46173790839778656,18.740550962254687
KIL,25,moist_mean,KAR,gam,0.3743691526265329,14.725424349802598
KIL,25,moist_mean,KIL,gam,0.32009547918722914,11.63249890645523
KIL,26,moist_mean,VAR,lm,0.5402356272584263,14.56554972614489
KIL,26,moist_mean,TII,lm,0.38035181586686284,12.870564462622353
KIL,26,moist_mean,PIS,lm,0.4416070869300401,15.356502347041054
KIL,26,moist_mean,HYY,lm,0.4305472894511617,21.08506742150105
KIL,26,moist_mean,KAR,lm,0.3206526867881505,14.674104897853297
KIL,26,moist_mean,KIL,lm,0.3762779880295514,11.029493506714283
KIL,26,moist_mean,VAR,gam,0.5502490063191582,14.584914191233523
KIL,26,moist_mean,TII,gam,0.4005432638962537,13.147303976638614
KIL,26,moist_mean,PIS,gam,0.4296925488392781,15.4806609632094
KIL,26,moist_mean,HYY,gam,0.47630950492587704,20.016292011489828
KIL,26,moist_mean,KAR,gam,0.3530491821155414,14.21886285430719
KIL,26,moist_mean,KIL,gam,0.3704982835700058,11.091042666987097
KIL,27,moist_mean,VAR,lm,0.44658582800471575,10.932851965428599
KIL,27,moist_mean,TII,lm,0.38252230647501634,10.908521320569156
KIL,27,moist_mean,PIS,lm,0.2110992879821332,12.785756341700939
KIL,27,moist_mean,HYY,lm,0.3581345665067566,14.331882057189663
KIL,27,moist_mean,KAR,lm,0.2044209916669586,11.045222942565907
KIL,27,moist_mean,KIL,lm,0.30961474628282537,10.486544964312317
KIL,27,moist_mean,VAR,gam,0.42496828509924406,11.127891505036205
KIL,27,moist_mean,TII,gam,0.4067535292532348,10.637963413505334
KIL,27,moist_mean,PIS,gam,0.20692006885604533,12.797569335762997
KIL,27,moist_mean,HYY,gam,0.3804681689653426,14.317965352790551
KIL,27,moist_mean,KAR,gam,0.2199171328964928,10.988835050055208
KIL,27,moist_mean,KIL,gam,0.29397927498908694,10.624040972926718
KIL,28,moist_mean,VAR,lm,0.44479652821851673,10.892109914736722
KIL,28,moist_mean,TII,lm,0.4224879917853236,11.27385801586498
KIL,28,moist_mean,PIS,lm,0.22112976808515789,12.168499953181351
KIL,28,moist_mean,HYY,lm,0.41731722901042617,13.87375627915635
KIL,28,moist_mean,KAR,lm,0.183621327751212,11.5893561050346
KIL,28,moist_mean,KIL,lm,0.3497762356020218,10.442590503809782
KIL,28,moist_mean,VAR,gam,0.4054199938725933,11.215643335508771
KIL,28,moist_mean,TII,gam,0.42879659410986365,11.108002168940024
