term,estimate,std.error,statistic,p.value,area,week,resp,pred,model
(Intercept),16.388823050446977,2.6695383265575447,6.1391975111969606,5.0718667463812564e-9,KIL,24,moist_mean,twi_luke,lm
twi_luke,2.521508810039097,0.35811753687834497,7.041009027423505,3.7771231339374824e-11,KIL,24,moist_mean,twi_luke,lm
(Intercept),37.583620950775725,1.1579896280406845,32.455921919065126,1.31199923251464e-77,KIL,24,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-1.0365876557830478,0.19082681285093234,-5.4320859856984365,1.767384917474053e-7,KIL,24,moist_mean,dtw_0_5ha,lm
(Intercept),17.793383937842897,1.8422744006838891,9.658378757929675,4.4482771113953405e-18,KIL,24,moist_mean,swi,lm
swi,2.0052031376556654,0.2027605850706238,9.889511499275022,9.960507080386692e-19,KIL,24,moist_mean,swi,lm
(Intercept),14.778861446649868,2.436841787669775,6.0647603473601475,5.564928367191258e-9,KIL,25,moist_mean,twi_luke,lm
twi_luke,2.368324175252172,0.31908670448305354,7.422196355968671,2.3755871770468463e-12,KIL,25,moist_mean,twi_luke,lm
(Intercept),35.03176354678433,1.0556061523081903,33.18639576908851,1.9650759486572357e-88,KIL,25,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-1.0049105073358362,0.17852545593057334,-5.628947995666429,5.393496133802575e-8,KIL,25,moist_mean,dtw_0_5ha,lm
(Intercept),15.61350023694579,1.7433901687054383,8.955826708911442,1.3287783363149569e-16,KIL,25,moist_mean,swi,lm
swi,1.9403288765250837,0.18784345151859175,10.329499702219005,1.0456399117433203e-20,KIL,25,moist_mean,swi,lm
(Intercept),11.546052736832864,2.3698445049619066,4.872071864908478,2.035805147980637e-6,KIL,26,moist_mean,twi_luke,lm
twi_luke,2.4092589427151947,0.30767407162066246,7.830555659189957,1.6821397998384598e-13,KIL,26,moist_mean,twi_luke,lm
(Intercept),32.22449971176415,1.021959839874826,31.532060707699774,3.259650781770579e-86,KIL,26,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-1.0098052229948278,0.1750967543992852,-5.767127017626491,2.5368618128627867e-8,KIL,26,moist_mean,dtw_0_5ha,lm
(Intercept),12.231474879411845,1.6844416997154734,7.261441509954259,5.635364835356479e-12,KIL,26,moist_mean,swi,lm
swi,1.999944658373259,0.18074885166899704,11.064771033985494,3.6546936441009836e-23,KIL,26,moist_mean,swi,lm
(Intercept),18.727125629774825,2.2361410050658743,8.374751675922665,4.951191616322688e-15,KIL,27,moist_mean,twi_luke,lm
twi_luke,1.751271946589621,0.29062886002168037,6.025801933293821,6.418762640148868e-9,KIL,27,moist_mean,twi_luke,lm
(Intercept),33.61003834647857,0.9490000203542822,35.416267255643696,2.0371572828046445e-96,KIL,27,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-0.6894935439296095,0.16297575631101144,-4.230650984762597,3.3363589109267294e-5,KIL,27,moist_mean,dtw_0_5ha,lm
(Intercept),18.88852051970497,1.6315280503953913,11.577196306939035,7.653102051627915e-25,KIL,27,moist_mean,swi,lm
swi,1.4979468525325839,0.17557133785258494,8.531841648266676,1.7622031304549003e-15,KIL,27,moist_mean,swi,lm
