Variable,Importance,StDev,method,area,week,resp,model
pisr_summer_10m,0.0026165977316680135,0.0038629530006114017,perm_r2,KIL,24,moist_mean,lm
twi_luke,0.06482478847910768,0.021318815046308396,perm_r2,KIL,24,moist_mean,lm
dtw_0_5ha,0.05477501459282049,0.021299051106824625,perm_r2,KIL,24,moist_mean,lm
tpi20,0.021591830112510053,0.009698182786189514,perm_r2,KIL,24,moist_mean,lm
tpi500,0.0030673645716211228,0.0037982446802540403,perm_r2,KIL,24,moist_mean,lm
wet_effect,0.04861913966952723,0.010410826639796622,perm_r2,KIL,24,moist_mean,lm
soil_type,0.16877650887109627,0.03409554596058545,perm_r2,KIL,24,moist_mean,lm
pisr_summer_10m,0.022394803177814993,0.0502921278157974,perm_rmse,KIL,24,moist_mean,lm
twi_luke,0.7632524149568833,0.15902017502211152,perm_rmse,KIL,24,moist_mean,lm
dtw_0_5ha,0.4969557717995059,0.2679847076150932,perm_rmse,KIL,24,moist_mean,lm
tpi20,0.1534624625328238,0.0767695750175896,perm_rmse,KIL,24,moist_mean,lm
tpi500,0.00797375046387554,0.03204989366858878,perm_rmse,KIL,24,moist_mean,lm
wet_effect,0.37029600716215133,0.23605849373426038,perm_rmse,KIL,24,moist_mean,lm
soil_type,1.5753221718554782,0.21288779409612255,perm_rmse,KIL,24,moist_mean,lm
soil_type,0.15150501949766973,0.03718959233304832,perm_r2,KIL,24,moist_mean,gam
pisr_summer_10m,0.04237316626883728,0.013805968117969527,perm_r2,KIL,24,moist_mean,gam
twi_luke,0.14851316228307748,0.04445646128863864,perm_r2,KIL,24,moist_mean,gam
dtw_0_5ha,0.07652551760776032,0.02181896513211706,perm_r2,KIL,24,moist_mean,gam
tpi20,0.00782409259541696,0.011126218626013838,perm_r2,KIL,24,moist_mean,gam
tpi500,0.031816051382639945,0.01449433649689796,perm_r2,KIL,24,moist_mean,gam
wet_effect,0.11372758246668203,0.03473929017722478,perm_r2,KIL,24,moist_mean,gam
soil_type,1.2408061104142833,0.2012307806375753,perm_rmse,KIL,24,moist_mean,gam
pisr_summer_10m,0.4957354571309935,0.09809908402655824,perm_rmse,KIL,24,moist_mean,gam
twi_luke,1.185412335977711,0.21515545317354448,perm_rmse,KIL,24,moist_mean,gam
dtw_0_5ha,0.5687622994019372,0.10299280602014903,perm_rmse,KIL,24,moist_mean,gam
tpi20,0.10030557675306415,0.0769052193722663,perm_rmse,KIL,24,moist_mean,gam
tpi500,0.35977096217927274,0.15138339908518994,perm_rmse,KIL,24,moist_mean,gam
wet_effect,0.947313533131579,0.2926115012380117,perm_rmse,KIL,24,moist_mean,gam
pisr_summer_10m,0.0022565143030187753,0.0015164321117751313,perm_r2,KIL,25,moist_mean,lm
twi_luke,0.0937554924677175,0.023550291407634566,perm_r2,KIL,25,moist_mean,lm
dtw_0_5ha,0.06041521677601872,0.01636033144681631,perm_r2,KIL,25,moist_mean,lm
tpi20,0.006465533257967648,0.004805277336978897,perm_r2,KIL,25,moist_mean,lm
tpi500,0.015462873136174966,0.0068912685391004196,perm_r2,KIL,25,moist_mean,lm
